product_id,product_name,unit_profit,Material,Time,Energy
J001,Grinding,61,3.17,76,11.42
J002,Grinding,104,3.35,79,6.61
J003,Additive,46,2.29,56,11.11
J004,Grinding,79,1.76,106,12.5
J005,Lathe,50,1.9,46,8.13
J006,Additive,67,4.86,100,13.83
J007,Milling,14,4.67,22,14.2
J008,Grinding,53,1.57,79,13.86
J009,Drilling,42,3.49,42,8.97
J010,Drilling,58,2.1,27,3.66
J011,Lathe,59,3.02,65,9.98
J012,Grinding,31,2.71,28,8.08
J013,Lathe,66,3.1,43,5.55
J014,Additive,372,2.33,112,2.01
J015,Additive,223,3.92,104,3.67
J016,Additive,49,2.09,65,12.29
J017,Lathe,110,4.3,115,9.44
J018,Lathe,46,2.25,55,10.95
J019,Milling,122,4.62,52,3.27
J020,Lathe,28,1.39,42,14.19
J021,Milling,73,3.95,107,13.73
J022,Additive,125,3.3,64,4.14
J023,Drilling,68,4.86,98,13.49
J024,Grinding,86,1.84,84,8.81
J025,Lathe,195,1.84,119,5.1
J026,Additive,43,1.14,21,3.89
J027,Lathe,71,4.03,87,11.34
J028,Milling,180,3.21,93,4.16
J029,Milling,182,3.47,116,5.39
J030,Grinding,58,4.62,66,10.36
J031,Grinding,88,1.7,37,3.21
J032,Drilling,132,3.02,78,4.93
J033,Lathe,114,3.7,103,8.02
J034,Grinding,81,1.47,110,12.52
J035,Drilling,36,2.05,47,12.12
J036,Additive,173,1.76,99,4.72
J037,Milling,56,4.6,79,13.17
J038,Grinding,72,4.77,43,4.98
J039,Drilling,41,4.06,48,10.65
J040,Lathe,46,2.29,50,9.94
J041,Milling,70,1.15,88,11.64
J042,Additive,33,1.55,48,13.57
J043,Additive,136,4.84,75,4.53
J044,Lathe,163,1.82,109,5.67
J045,Milling,194,3.52,78,3.03
J046,Milling,37,4.52,30,7.15
J047,Drilling,23,1.9,25,10.09
J048,Lathe,146,3.67,75,4.12
J049,Lathe,39,4.43,33,7.55
J050,Lathe,254,1.42,104,3.09
J051,Lathe,29,4.25,24,7.26
J052,Grinding,23,3.91,23,9.2
J053,Lathe,168,1.85,97,4.77
J054,Drilling,84,2.79,64,6.66
J055,Drilling,82,4.61,116,13.1
J056,Drilling,81,4.2,104,11.91
J057,Additive,41,1.04,31,6.53
J058,Grinding,88,1.03,83,8.42
J059,Additive,88,3.62,62,6.06
J060,Milling,68,3.29,66,8.69
J061,Lathe,138,3.03,110,6.98
J062,Lathe,90,2.47,98,9.93
J063,Lathe,50,3.2,47,8.4
J064,Lathe,84,4.81,71,7.42
J065,Grinding,29,2.71,23,6.8
J066,Drilling,168,3.47,52,2.09
J067,Lathe,48,3.28,23,3.79
J068,Lathe,109,3.48,116,9.64
J069,Additive,27,2.61,29,9.58
J070,Drilling,156,3.37,54,2.46
J071,Milling,30,2.62,25,7.29
J072,Grinding,96,3.52,68,6.05
J073,Drilling,89,4.17,112,11.57
J074,Milling,47,3.72,65,12.97
J075,Additive,100,3.55,85,7.52
J076,Milling,90,1.99,99,10.01
J077,Milling,73,3.46,62,7.46
J078,Milling,334,2.08,107,2.2
J079,Milling,100,4.55,84,7.43
J080,Grinding,52,2.11,82,14.62
J081,Additive,54,4.01,69,11.72
J082,Drilling,17,1.73,24,13.39
J083,Drilling,45,4.15,59,12.15
J084,Drilling,62,1.19,77,11.36
J085,Lathe,101,3.38,44,3.35
J086,Drilling,51,2.77,77,14.07
J087,Lathe,37,2.33,59,14.83
J088,Additive,57,1.36,60,9.56
J089,Grinding,36,4.66,55,14.16
